date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-01-02T00:00:00.000Z,109.33,111.44,107.35,111.39,53204626,24.2892464573,24.7580135846,23.849360717,24.7469053588,212818504,0.0,1.0
2015-01-05T00:00:00.000Z,106.25,108.65,105.41,108.29,64285491,23.6049797502,24.1381745869,23.4183615574,24.0581953614,257141964,0.0,1.0
2015-01-06T00:00:00.000Z,106.26,107.43,104.63,106.54,65797116,23.6072013954,23.8671338783,23.2450732354,23.6694074597,263188464,0.0,1.0
2015-01-07T00:00:00.000Z,107.75,108.2,106.695,107.2,40105934,23.9382265232,24.038200555,23.7038429595,23.8160360397,160423736,0.0,1.0
2015-01-08T00:00:00.000Z,111.89,112.15,108.7,109.23,59364547,24.8579876165,24.9157503905,24.1492828127,24.2670300058,237458188,0.0,1.0
2015-01-09T00:00:00.000Z,112.01,113.25,110.21,112.67,53315099,24.8846473583,25.1601313573,24.4847512308,25.0312759384,213260396,0.0,1.0
2015-01-12T00:00:00.000Z,109.25,112.63,108.8,112.6,49650790,24.2714732961,25.0223893578,24.1714992642,25.0157244223,198603160,0.0,1.0
2015-01-13T00:00:00.000Z,110.22,112.8,108.91,111.43,67091928,24.4869728759,25.0601573254,24.1959373609,24.7557919395,268367712,0.0,1.0
2015-01-14T00:00:00.000Z,109.8,110.49,108.5,109.04,48956588,24.3936637795,24.5469572951,24.1048499096,24.2248187479,195826352,0.0,1.0
2015-01-15T00:00:00.000Z,106.82,110.06,106.66,110.0,60013996,23.7316135239,24.4514265535,23.6960672015,24.4380966826,240055984,0.0,1.0
2015-01-16T00:00:00.000Z,105.99,107.58,105.2,107.03,78513345,23.5472169762,23.9004585556,23.3717070092,23.7782680721,314053380,0.0,1.0
2015-01-20T00:00:00.000Z,108.72,108.9667,106.5,107.84,49899907,24.153726103,24.2085340889,23.660520879,23.9582213295,199599628,0.0,1.0
2015-01-21T00:00:00.000Z,109.55,111.06,108.27,108.95,48575897,24.3381226507,24.6735910688,24.0537520711,24.2048239415,194303588,0.0,1.0
2015-01-22T00:00:00.000Z,112.4,112.47,109.72,110.26,53796409,24.9712915193,24.9868430354,24.3758906183,24.4958594566,215185636,0.0,1.0
2015-01-23T00:00:00.000Z,112.98,113.75,111.53,112.3,46464828,25.1001469382,25.2712136149,24.778008391,24.9490750678,185859312,0.0,1.0
2015-01-26T00:00:00.000Z,113.1,114.3626,112.8,113.74,55614979,25.12680668,25.407311597,25.0601573254,25.2689919698,222459916,0.0,1.0
2015-01-27T00:00:00.000Z,109.14,112.48,109.03,112.42,95568749,24.2470351994,24.9890646805,24.2225971027,24.9757348096,382274996,0.0,1.0
2015-01-28T00:00:00.000Z,115.31,118.12,115.31,117.625,146477063,25.6177902588,26.2420725468,25.6177902588,26.1321011117,585908252,0.0,1.0
2015-01-29T00:00:00.000Z,118.9,119.19,115.56,116.32,84436432,26.4153608687,26.4797885781,25.6733313876,25.8421764192,337745728,0.0,1.0
2015-01-30T00:00:00.000Z,117.16,120.0,116.85,118.4,83745461,26.0287946121,26.6597418355,25.9599236124,26.3042786111,334981844,0.0,1.0
2015-02-02T00:00:00.000Z,118.63,119.17,116.08,118.05,62739100,26.3553764496,26.4753452878,25.7888569356,26.2265210307,250956400,0.0,1.0
2015-02-03T00:00:00.000Z,118.65,119.09,117.61,118.5,51915749,26.3598197399,26.4575721266,26.128768644,26.3264950626,207662996,0.0,1.0
2015-02-04T00:00:00.000Z,119.56,120.51,118.309,118.5,70149743,26.5619894488,26.7730457383,26.2840616402,26.3264950626,280598972,0.0,1.0
2015-02-05T00:00:00.000Z,119.94,120.23,119.25,120.02,42246245,26.7508292868,26.8155094643,26.5969350713,26.7686720944,168984980,0.47,1.0
2015-02-06T00:00:00.000Z,118.93,120.25,118.45,120.02,43706567,26.5255638409,26.8199701662,26.4185069954,26.7686720944,174826268,0.0,1.0
2015-02-09T00:00:00.000Z,119.72,119.84,118.43,118.55,38889797,26.7017615659,26.7285257773,26.4140462935,26.4408105048,155559188,0.0,1.0
2015-02-10T00:00:00.000Z,122.02,122.15,120.16,120.17,62008506,27.2147422843,27.2437368466,26.7998970077,26.8021273586,248034024,0.0,1.0
2015-02-11T00:00:00.000Z,124.88,124.92,122.5,122.77,73561797,27.8526226558,27.8615440596,27.3217991298,27.3820186055,294247188,0.0,1.0
2015-02-12T00:00:00.000Z,126.46,127.48,125.57,126.06,74474466,28.2050181058,28.4325139026,28.0065168713,28.1158040678,297897864,0.0,1.0
2015-02-13T00:00:00.000Z,127.08,127.28,125.65,127.28,54272219,28.3432998647,28.3879068837,28.0243596789,28.3879068837,217088876,0.0,1.0
2015-02-17T00:00:00.000Z,127.83,128.88,126.92,127.49,63152405,28.5105761859,28.7447630356,28.3076142495,28.4347442536,252609620,0.0,1.0
2015-02-18T00:00:00.000Z,128.715,128.78,127.45,127.625,44891737,28.7079622449,28.7224595261,28.4258228498,28.4648539914,179566948,0.0,1.0
